,com0,com02,dist0,com11,com112,dist11,com24,com242,dist24,com30,com302,dist30
4,VA.T0.1,OR.T0.1,0.801337872,VA.T11.1,OR.T11.1,0.747268841,VA.T24.1,OR.T24.1,0.677802407,VA.T30.1,OR.T30.1,0.768841039
5,VA.T0.2,OR.T0.1,0.786811273,VA.T11.2,OR.T11.1,0.771888854,VA.T24.2,OR.T24.1,0.544331856,VA.T30.2,OR.T30.1,0.692170678
6,VA.T0.3,OR.T0.1,0.798171311,VA.T11.3,OR.T11.1,0.940033249,VA.T24.3,OR.T24.1,0.754631096,VA.T30.3,OR.T30.1,0.831895187
7,WW.T0.1,OR.T0.1,0.962120013,WW.T11.1,OR.T11.1,0.91038632,WW.T24.1,OR.T24.1,0.783921786,WW.T30.1,OR.T30.1,0.864154528
8,WW.T0.2,OR.T0.1,0.965326156,WW.T11.2,OR.T11.1,0.909040532,WW.T24.2,OR.T24.1,0.789384104,WW.T30.2,OR.T30.1,0.869735592
9,WW.T0.3,OR.T0.1,0.956618113,WW.T11.3,OR.T11.1,0.914938252,WW.T24.3,OR.T24.1,0.799042115,WW.T30.3,OR.T30.1,0.847925902
13,VA.T0.1,OR.T0.2,0.818516466,VA.T11.1,OR.T11.2,0.741925269,VA.T24.1,OR.T24.2,0.718888537,VA.T30.1,OR.T30.2,0.701116213
14,VA.T0.2,OR.T0.2,0.809610513,VA.T11.2,OR.T11.2,0.766347372,VA.T24.2,OR.T24.2,0.573860038,VA.T30.2,OR.T30.2,0.574730842
15,VA.T0.3,OR.T0.2,0.792392337,VA.T11.3,OR.T11.2,0.954164028,VA.T24.3,OR.T24.2,0.719244775,VA.T30.3,OR.T30.2,0.792629829
16,WW.T0.1,OR.T0.2,0.962594997,WW.T11.1,OR.T11.2,0.910425902,WW.T24.1,OR.T24.2,0.814993667,WW.T30.1,OR.T30.2,0.810916719
17,WW.T0.2,OR.T0.2,0.965049082,WW.T11.2,OR.T11.2,0.91018841,WW.T24.2,OR.T24.2,0.820693477,WW.T30.2,OR.T30.2,0.820535149
18,WW.T0.3,OR.T0.2,0.957647245,WW.T11.3,OR.T11.2,0.917550665,WW.T24.3,OR.T24.2,0.82999525,WW.T30.3,OR.T30.2,0.796627612
22,VA.T0.1,OR.T0.3,0.815349905,VA.T11.1,OR.T11.3,0.66608613,VA.T24.1,OR.T24.3,0.545163078,VA.T30.1,OR.T30.3,0.547815073
23,VA.T0.2,OR.T0.3,0.80050665,VA.T11.2,OR.T11.3,0.680137745,VA.T24.2,OR.T24.3,0.478071564,VA.T30.2,OR.T30.3,0.510964218
24,VA.T0.3,OR.T0.3,0.838584547,VA.T11.3,OR.T11.3,0.941181127,VA.T24.3,OR.T24.3,0.777074098,VA.T30.3,OR.T30.3,0.838228309
25,WW.T0.1,OR.T0.3,0.96580114,WW.T11.1,OR.T11.3,0.907853072,WW.T24.1,OR.T24.3,0.638932869,WW.T30.1,OR.T30.3,0.654369854
26,WW.T0.2,OR.T0.3,0.968809373,WW.T11.2,OR.T11.3,0.905319823,WW.T24.2,OR.T24.3,0.645345155,WW.T30.2,OR.T30.3,0.655161495
27,WW.T0.3,OR.T0.3,0.963426219,WW.T11.3,OR.T11.3,0.913236225,WW.T24.3,OR.T24.3,0.655676061,WW.T30.3,OR.T30.3,0.672656745
28,OR.T0.1,VA.T0.1,0.801337872,OR.T11.1,VA.T11.1,0.747268841,OR.T24.1,VA.T24.1,0.677802407,OR.T30.1,VA.T30.1,0.768841039
29,OR.T0.2,VA.T0.1,0.818516466,OR.T11.2,VA.T11.1,0.741925269,OR.T24.2,VA.T24.1,0.718888537,OR.T30.2,VA.T30.1,0.701116213
30,OR.T0.3,VA.T0.1,0.815349905,OR.T11.3,VA.T11.1,0.66608613,OR.T24.3,VA.T24.1,0.545163078,OR.T30.3,VA.T30.1,0.547815073
34,WW.T0.1,VA.T0.1,0.957172261,WW.T11.1,VA.T11.1,0.875,WW.T24.1,VA.T24.1,0.556127296,WW.T30.1,VA.T30.1,0.598598797
35,WW.T0.2,VA.T0.1,0.959982584,WW.T11.2,VA.T11.1,0.873693794,WW.T24.2,VA.T24.1,0.528934452,WW.T30.2,VA.T30.1,0.594521849
36,WW.T0.3,VA.T0.1,0.954639012,WW.T11.3,VA.T11.1,0.87971026,WW.T24.3,VA.T24.1,0.595669728,WW.T30.3,VA.T30.1,0.639487017
37,OR.T0.1,VA.T0.2,0.786811273,OR.T11.1,VA.T11.2,0.771888854,OR.T24.1,VA.T24.2,0.544331856,OR.T30.1,VA.T30.2,0.692170678
38,OR.T0.2,VA.T0.2,0.809610513,OR.T11.2,VA.T11.2,0.766347372,OR.T24.2,VA.T24.2,0.573860038,OR.T30.2,VA.T30.2,0.574730842
39,OR.T0.3,VA.T0.2,0.80050665,OR.T11.3,VA.T11.2,0.680137745,OR.T24.3,VA.T24.2,0.478071564,OR.T30.3,VA.T30.2,0.510964218
43,WW.T0.1,VA.T0.2,0.961407536,WW.T11.1,VA.T11.2,0.799398353,WW.T24.1,VA.T24.2,0.490025332,WW.T30.1,VA.T30.2,0.706063965
44,WW.T0.2,VA.T0.2,0.963901203,WW.T11.2,VA.T11.2,0.793658961,WW.T24.2,VA.T24.2,0.493073148,WW.T30.2,VA.T30.2,0.613956618
45,WW.T0.3,VA.T0.2,0.959151362,WW.T11.3,VA.T11.2,0.780201077,WW.T24.3,VA.T24.2,0.51139962,WW.T30.3,VA.T30.2,0.700166244
46,OR.T0.1,VA.T0.3,0.798171311,OR.T11.1,VA.T11.3,0.940033249,OR.T24.1,VA.T24.3,0.754631096,OR.T30.1,VA.T30.3,0.831895187
47,OR.T0.2,VA.T0.3,0.792392337,OR.T11.2,VA.T11.3,0.954164028,OR.T24.2,VA.T24.3,0.719244775,OR.T30.2,VA.T30.3,0.792629829
48,OR.T0.3,VA.T0.3,0.838584547,OR.T11.3,VA.T11.3,0.941181127,OR.T24.3,VA.T24.3,0.777074098,OR.T30.3,VA.T30.3,0.838228309
52,WW.T0.1,VA.T0.3,0.957172261,WW.T11.1,VA.T11.3,0.656626029,WW.T24.1,VA.T24.3,0.955232742,WW.T30.1,VA.T30.3,       b   k  z-Xhcf
53,WW.T0.2,VA.T0.3,0.959784674,WW.T11.2,VA.T11.3,0.830074414,WW.T24.2,VA.T24.3,0.962674161,WW.T30.2,VA.T30.3,0.973796707
54,WW.T0.3,VA.T0.3,0.954955668,WW.T11.3,VA.T11.3,0.795479734,WW.T24.3,VA.T24.3,0.970392654,WW.T30.3,VA.T30.3,0.957686827
55,OR.T0.1,WW.T0.1,0.962120013,OR.T11.1,WW.T11.1,0.91038632,OR.T24.1,WW.T24.1,0.783921786,OR.T30.1,WW.T30.1,0.864154528
56,OR.T0.2,WW.T0.1,0.962594997,OR.T11.2,WW.T11.1,0.910425902,OR.T24.2,WW.T24.1,0.814993667,OR.T30.2,WW.T30.1,0.810916719
57,OR.T0.3,WW.T0.1,0.96580114,OR.T11.3,WW.T11.1,0.907853072,OR.T24.3,WW.T24.1,0.638932869,OR.T30.3,WW.T30.1,0.654369854
58,VA.T0.1,WW.T0.1,0.957172261,VA.T11.1,WW.T11.1,0.875,VA.T24.1,WW.T24.1,0.556127296,VA.T30.1,WW.T30.1,0.598598797
59,VA.T0.2,WW.T0.1,0.961407536,VA.T11.2,WW.T11.1,0.799398353,VA.T24.2,WW.T24.1,0.490025332,VA.T30.2,WW.T30.1,0.706063965
60,VA.T0.3,WW.T0.1,0.957172261,VA.T11.3,WW.T11.1,0.656626029,VA.T24.3,WW.T24.1,0.955232742,VA.T30.3,WW.T30.1,0.960378404
64,OR.T0.1,WW.T0.2,0.965326156,OR.T11.1,WW.T11.2,0.909040532,OR.T24.1,WW.T24.2,0.789384104,OR.T30.1,WW.T30.2,0.869735592
65,OR.T0.2,WW.T0.2,0.965049082,OR.T11.2,WW.T11.2,0.91018841,OR.T24.2,WW.T24.2,0.820693477,OR.T30.2,WW.T30.2,0.820535149
66,OR.T0.3,WW.T0.2,0.968809373,OR.T11.3,WW.T11.2,0.905319823,OR.T24.3,WW.T24.2,0.645345155,OR.T30.3,WW.T30.2,0.655161495
67,VA.T0.1,WW.T0.2,0.959982584,VA.T11.1,WW.T11.2,0.873693794,VA.T24.1,WW.T24.2,0.528934452,VA.T30.1,WW.T30.2,0.594521849
68,VA.T0.2,WW.T0.2,0.963901203,VA.T11.2,WW.T11.2,0.793658961,VA.T24.2,WW.T24.2,0.493073148,VA.T30.2,WW.T30.2,0.613956618
69,VA.T0.3,WW.T0.2,0.959784674,VA.T11.3,WW.T11.2,0.830074414,VA.T24.3,WW.T24.2,0.962674161,VA.T30.3,WW.T30.2,0.973796707
73,OR.T0.1,WW.T0.3,0.956618113,OR.T11.1,WW.T11.3,0.914938252,OR.T24.1,WW.T24.3,0.799042115,OR.T30.1,WW.T30.3,0.847925902
74,OR.T0.2,WW.T0.3,0.957647245,OR.T11.2,WW.T11.3,0.917550665,OR.T24.2,WW.T24.3,0.82999525,OR.T30.2,WW.T30.3,0.796627612
75,OR.T0.3,WW.T0.3,0.963426219,OR.T11.3,WW.T11.3,0.913236225,OR.T24.3,WW.T24.3,0.655676061,OR.T30.3,WW.T30.3,0.672656745
76,VA.T0.1,WW.T0.3,0.954639012,VA.T11.1,WW.T11.3,0.87971026,VA.T24.1,WW.T24.3,0.595669728,VA.T30.1,WW.T30.3,0.639487017
77,VA.T0.2,WW.T0.3,0.959151362,VA.T11.2,WW.T11.3,0.780201077,VA.T24.2,WW.T24.3,0.51139962,VA.T30.2,WW.T30.3,0.700166244
78,VA.T0.3,WW.T0.3,0.954955668,VA.T11.3,WW.T11.3,0.795479734,VA.T24.3,WW.T24.3,0.970392654,VA.T30.3,WW.T30.3,0.957686827
