OTU,p,c,o,f,g,summay
Zotu1,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Flectobacillus,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Flectobacillus
Zotu10,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu100,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1000,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales  
Zotu1001,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae 
Zotu1002,p:Bacteroidetes,c:Sphingobacteriia,,,,p:Bacteroidetes c:Sphingobacteriia   
Zotu1003,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu1004,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1005,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Terrimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Terrimonas"
Zotu1006,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1007,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1008,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Limnohabitans
Zotu1009,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu101,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,g:Methylophilus,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae g:Methylophilus
Zotu1010,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Dechloromonas,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Dechloromonas
Zotu1011,,,,,,    
Zotu1012,p:Bacteroidetes,c:Sphingobacteriia,,,,p:Bacteroidetes c:Sphingobacteriia   
Zotu1013,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1014,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1015,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1016,,,,,,    
Zotu1017,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Brevundimonas
Zotu1018,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1019,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,g:Reyranella,,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales g:Reyranella 
Zotu102,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu1020,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1021,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Asticcacaulis,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Asticcacaulis
Zotu1022,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae g:Prosthecobacter
Zotu1023,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1024,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae g:Prosthecobacter
Zotu1025,p:Nitrospirae,"c:""Nitrospira""","o:""Nitrospirales""","f:""Nitrospiraceae""",g:Nitrospira,"p:Nitrospirae c:""Nitrospira"" o:""Nitrospirales"" f:""Nitrospiraceae"" g:Nitrospira"
Zotu1026,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,,,p:Cyanobacteria/Chloroplast c:Chloroplast f:Chloroplast  
Zotu1027,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae 
Zotu1028,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu1029,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu103,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Hymenobacter
Zotu1030,p:Armatimonadetes,g:Armatimonadetes_gp5,,,,p:Armatimonadetes g:Armatimonadetes_gp5   
Zotu1031,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu1032,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Mycobacteriaceae g:Mycobacterium
Zotu1033,,,,,,    
Zotu1034,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1035,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Pseudacidovorax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Pseudacidovorax
Zotu1036,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1037,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1038,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales  
Zotu1039,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu104,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1040,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae "
Zotu1041,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Acetobacteraceae g:Roseomonas
Zotu1042,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu1043,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Microbacteriaceae 
Zotu1044,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1045,,,,,,    
Zotu1046,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu1047,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Polaromonas
Zotu1048,p:SR1,g:SR1_genera_incertae_sedis,,,,p:SR1 g:SR1_genera_incertae_sedis   
Zotu1049,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu105,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,g:Methylophilus,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae g:Methylophilus
Zotu1050,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1051,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1052,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1053,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1054,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1055,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,,,p:Planctomycetes c:Planctomycetia o:Planctomycetales  
Zotu1056,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,g:Fluviicola,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae g:Fluviicola"
