#OTU ID,OR-T0-1,OR-T0-2,OR-T0-3,OR-T11-1,OR-T11-2,OR-T11-3,OR-T24-1,OR-T24-2,OR-T24-3,OR-T30-1,OR-T30-2,OR-T30-3,VA-T0-1,VA-T0-2,VA-T0-3,VA-T11-1,VA-T11-2,VA-T11-3,VA-T24-1,VA-T24-2,VA-T24-3,VA-T30-1,VA-T30-2,VA-T30-3,WW-T0-1,WW-T0-2,WW-T0-3,WW-T11-1,WW-T11-2,WW-T11-3,WW-T24-1,WW-T24-2,WW-T24-3,WW-T30-1,WW-T30-2,WW-T30-3
Zotu1,77,334,638,8570,7555,11741,10318,10002,18896,6945,3905,20847,66,85,2,26110,27777,10,33753,23605,211,26334,14252,110,11,3,12,3436,3181,2980,21196,25051,16855,24758,28670,26218
Zotu10,1939,3515,983,26,69,241,3,4,2,2,0,0,761,1073,1491,79,222,57,3,4,1,0,2,5,389,214,324,51,11,122,469,258,1195,3338,715,8048
Zotu100,0,2,1,0,0,0,0,0,0,0,0,0,7,3,6,3,0,0,1,0,0,0,0,0,1204,1216,1179,66,120,80,0,2,0,3,0,0
Zotu1000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,95,0,0,6,9,0
Zotu1001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,64,28,27,3,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,26,0,7,1,0,0,0,0,0,0
Zotu1003,0,0,0,0,0,0,0,0,0,0,0,0,16,6,8,0,0,0,0,0,0,0,0,0,24,31,28,0,0,1,0,0,0,0,0,0
Zotu1004,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53,20,19,2,0,7,4,3,8
Zotu1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,16,0,1,1,2,0,1,3,1,1
Zotu1006,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,43,19,0,5,3,0,0,0,1,0,1
Zotu1007,11,13,62,4,7,28,0,0,2,0,0,2,2,3,7,1,6,2,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0
Zotu1008,2,0,3,0,0,0,0,0,0,0,0,0,352,202,198,1,0,135,0,0,0,0,0,0,0,1,1,1,6,4,0,0,0,0,0,0
Zotu1009,7,14,8,0,1,0,0,0,0,0,0,0,22,7,12,10,3,0,14,4,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Zotu101,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,15,29,52,10,64,1831,16,23,1607,0,0,0,0,0,0,5,1,2,2,2,7
Zotu1010,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,12,1,0,2,2,0,9,11,4,0,4,0,22,27,3,11,15,15
Zotu1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,3,1,32,8,8,19,26,5
Zotu1012,1,1,0,5,0,4,24,0,0,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,29,2,5,8,1,0,0,1,0,1
Zotu1014,0,1,4,0,0,0,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,0,0,0,51,46,47,0,0,0,0,0,0,0,0,0
Zotu1015,5,1,1,0,0,0,0,0,0,0,0,0,16,28,24,0,0,0,0,0,0,0,0,0,19,9,13,0,1,0,0,1,0,0,0,0
Zotu1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,6,2,18,75,7,0,0,0,0,0,0
Zotu1017,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,15,7,3,28,5,0,22,0,0,0,2,2,0,2,3,19,12,1,20
